,vecm_resid_Stock_Close,vecm_resid_Interest_Rate,vecm_resid_GDP_Proxy
2015-01-05,-5.661600048245276,-0.5752514322511244,2.3755803116064698
2015-01-06,-4.064659037288067,-0.8072209114166324,6.852793409364523
2015-01-07,3.4989613530316603,-0.7223534532468894,-0.6181917702248896
2015-01-08,1.004973652621473,0.8459778183383841,-5.857767753289508
2015-01-09,4.859002509202938,-0.7207391055485042,4.237699836396317
2015-01-12,1.6097277861034343,-0.883494394873904,-0.6063310627646672
2015-01-13,0.9329406548340415,0.5764628599342725,2.7538018886067306
2015-01-14,-5.844674229975595,0.4076992090772049,0.4393742411663055
2015-01-15,7.934857406999072,-0.9769288446320314,0.026263990282423322
2015-01-16,-3.7743897936968267,0.2669784577523231,1.4032170959807289
2015-01-19,6.480035735950594,0.13316282088743536,-3.696115657491525
2015-01-20,-11.35238109427344,0.7637632240401602,-5.017269479151409
2015-01-21,-1.5881888380087332,1.682374265051056,-2.9918120282269953
2015-01-22,-4.207561702387039,0.3156569643586504,2.467212989027864
2015-01-23,-8.460877916148888,0.6456959874289323,-4.618796214246842
2015-01-26,-1.2150037192452032,-1.1748100133588881,-5.284063625069585
2015-01-27,-7.768551780552258,0.7807485761080786,-0.9243334505612282
2015-01-28,-4.380184011504838,0.0809176443428532,0.1333983996988195
2015-01-29,3.214801455338545,-0.20645159375236677,3.1254512905740484
2015-01-30,-4.006463427656911,0.38601292891067995,-1.795991489904992
2015-02-02,1.8151273529770293,0.533336994035035,-0.888102585875366
2015-02-03,9.945117147022543,-0.40539833739747966,1.438212592616253
2015-02-04,2.772323839758215,-0.539852240845363,-5.690576951954682
2015-02-05,-8.008510877183468,1.0301840970763108,-0.6090408972473469
2015-02-06,-9.927752470981005,1.7697594958039646,0.3620037679867565
2015-02-09,2.3886398327028644,0.17271088400704215,2.438898095483111
2015-02-10,5.115184866583448,-0.04576184617874901,-1.0688493576926845
2015-02-11,-5.509385091676492,-0.18547074069438185,0.20993238031304173
2015-02-12,-3.063776919167566,0.7767340460407643,-6.2241440600447575
2015-02-13,-3.1585055786440535,-1.8730823019721115,3.186890980299637
2015-02-16,1.251710783278952,-0.12456923065375136,2.1118542380380205
2015-02-17,2.1267461614184384,0.7405645389376412,-3.969714414785898
2015-02-18,-1.5245692345139048,0.05565462848220992,2.3235231174510886
2015-02-19,5.999072543835879,1.5643029629024614,0.6530240775925478
2015-02-20,-3.1474211636681275,-0.3460524108693992,1.167808188464555
2015-02-23,-8.574621776182468,0.2835340974608407,-1.600413603025011
2015-02-24,1.174137624995197,0.7960848656597737,-5.95635932378687
2015-02-25,6.4494831810350775,-0.9370772555683509,-0.5092726098956177
2015-02-26,4.202657317446636,-0.23880943743404082,2.3787674986886103
2015-02-27,-8.178389736161506,0.24126979910609592,0.7585631123256462
2015-03-02,3.293410363455706,0.02379510495549475,-1.6203475957491804
2015-03-03,-2.909268996151283,0.4109470329196654,0.17683935181121768
2015-03-04,-6.280672194834949,0.4609818710612448,-0.37749022396634757
2015-03-05,2.4476557198529036,1.3695421864035904,-7.032019777908424
2015-03-06,2.0543323505004167,-0.03349189879971881,3.5593005023467015
2015-03-09,-9.618760511309347,-0.3485942599641607,1.6151094987417522
2015-03-10,11.385651911421434,-0.599814499470865,1.132688356131105
2015-03-11,2.7505614396341684,1.088129270371784,-0.546426221487252
2015-03-12,-6.3248645095612375,0.8447980360690703,-2.9546118626157494
2015-03-13,2.6103053450606097,-0.6187896954761101,-0.4542680171606719
2015-03-16,-1.334634045046272,0.08936822709251224,-0.9764924275155451
2015-03-17,-1.5573142765708212,-0.09868238293409881,-0.5328336624394403
2015-03-18,-3.1527923803307516,-1.1721378562187645,6.043396456888978
2015-03-19,-3.0116350968575887,-0.4857509739402328,-1.9757732485680464
2015-03-20,0.25592022512375934,0.21280314285924362,-3.400334394386441
2015-03-23,3.45091798563935,0.774368510920544,-0.20835767630436663
2015-03-24,1.697406810050893,-0.030942919814449965,-0.9612985908195242
